order_item_id,order_id,product_id,quantity,unit_price,discount
1,500001,313,1,14102.9,0.0
2,500001,343,2,19819.77,0.0
3,500001,314,2,8838.69,0.1
4,500002,344,4,4173.37,0.1
5,500003,36,3,102593.44,0.05
6,500004,277,1,16442.43,0.1
7,500005,63,4,16898.65,0.0
8,500005,448,3,90531.18,0.05
9,500006,7,2,69280.33,0.1
10,500007,459,1,15332.57,0.2
11,500008,63,1,16898.65,0.1
12,500009,246,1,26448.95,0.05
13,500010,177,2,491.57,0.0
14,500010,224,1,4339.65,0.0
15,500011,374,2,10295.77,0.0
16,500011,11,1,21524.32,0.0
17,500012,267,4,25739.92,0.1
18,500013,181,3,8279.63,0.0
19,500014,344,2,4173.37,0.05
20,500014,402,1,6534.45,0.0
21,500014,64,2,24113.89,0.0
22,500015,154,3,9225.48,0.05
23,500016,33,1,4219.35,0.0
24,500017,68,1,12221.29,0.1
25,500018,233,3,17198.03,0.05
26,500019,1,1,1356.88,0.0
27,500020,55,1,17898.53,0.05
28,500020,32,4,4705.12,0.05
29,500020,309,2,46248.06,0.0
30,500021,465,3,9639.11,0.05
31,500021,332,2,15851.69,0.1
32,500022,157,2,78761.8,0.0
33,500022,41,3,16137.09,0.2
34,500023,290,1,11179.88,0.0
35,500024,36,3,102593.44,0.05
36,500024,485,1,112612.79,0.15
37,500024,103,1,14572.46,0.0
38,500025,334,2,8011.5,0.1
39,500026,477,3,9863.07,0.05
40,500026,488,1,18320.62,0.0
41,500027,15,2,77496.34,0.1
42,500027,429,1,7104.95,0.1
43,500028,197,1,2371.21,0.0
44,500028,344,3,4173.37,0.0
45,500029,259,1,34371.41,0.0
46,500030,163,2,56885.75,0.0
47,500031,457,1,17087.3,0.05
48,500032,326,1,31194.56,0.1
49,500033,489,1,9114.61,0.0
50,500034,332,1,15851.69,0.15
51,500034,269,4,9085.34,0.0
52,500034,73,2,5311.55,0.0
53,500035,14,2,6619.25,0.15
54,500035,176,1,9677.27,0.0
55,500036,31,1,70394.22,0.0
56,500037,107,1,19252.6,0.15
57,500038,89,1,8192.9,0.15
58,500039,218,1,71335.52,0.0
59,500040,205,1,13701.47,0.0
60,500041,68,2,12221.29,0.05
61,500041,78,2,8968.46,0.05
62,500042,43,1,43119.19,0.0
63,500043,252,3,12753.87,0.0
64,500044,379,1,8885.07,0.05
65,500044,150,1,1891.48,0.1
66,500045,364,1,105694.95,0.05
67,500046,408,1,20880.67,0.0
68,500047,54,1,45947.28,0.05
69,500048,329,3,5181.96,0.15
70,500048,300,2,20913.82,0.0
71,500048,225,1,2622.96,0.0
72,500048,7,1,69280.33,0.05
73,500049,465,1,9639.11,0.1
74,500049,404,1,14376.53,0.15
75,500050,107,1,19252.6,0.2
76,500051,300,1,20913.82,0.1
77,500052,11,1,21524.32,0.0
78,500053,32,1,4705.12,0.1
79,500054,489,2,9114.61,0.0
80,500054,459,3,15332.57,0.05
81,500054,1,1,1356.88,0.0
82,500055,265,1,25674.53,0.15
83,500056,140,2,29047.35,0.0
84,500056,421,1,11053.18,0.15
85,500056,180,2,53317.81,0.0
86,500057,90,2,3455.71,0.0
87,500057,30,1,5074.07,0.05
88,500058,431,2,8397.95,0.0
89,500058,428,2,13030.31,0.1
90,500058,377,1,11029.08,0.0
91,500059,203,1,9014.89,0.05
92,500059,185,1,13448.26,0.05
93,500059,223,1,5581.94,0.1
94,500060,139,1,49097.52,0.05
95,500060,12,3,6090.02,0.0
96,500060,295,1,45303.17,0.15
97,500060,145,1,32321.73,0.0
98,500061,443,1,14726.78,0.0
99,500062,110,1,4267.5,0.0
